"","Year","value","measurement","area"
"1","1986","CPUE","88.0900926998841","Apalachicola"
"2","1986","Landings (lbs)","608174","Apalachicola"
"3","1986","Total Trips","6904","Apalachicola"
"4","1987","CPUE","74.0685977954371","Apalachicola"
"5","1987","Landings (lbs)","2889416","Apalachicola"
"6","1987","Total Trips","39010","Apalachicola"
"7","1988","CPUE","43.0391803278689","Apalachicola"
"8","1988","Landings (lbs)","1312695","Apalachicola"
"9","1988","Total Trips","30500","Apalachicola"
"10","1989","CPUE","39.2216199265299","Apalachicola"
"11","1989","Landings (lbs)","875505","Apalachicola"
"12","1989","Total Trips","22322","Apalachicola"
"13","1990","CPUE","55.8952599388379","Apalachicola"
"14","1990","Landings (lbs)","1535331","Apalachicola"
"15","1990","Total Trips","27468","Apalachicola"
"16","1991","CPUE","53.7110065698759","Apalachicola"
"17","1991","Landings (lbs)","1324406","Apalachicola"
"18","1991","Total Trips","24658","Apalachicola"
"19","1992","CPUE","68.879135645542","Apalachicola"
"20","1992","Landings (lbs)","1896587","Apalachicola"
"21","1992","Total Trips","27535","Apalachicola"
"22","1993","CPUE","82.4797828603361","Apalachicola"
"23","1993","Landings (lbs)","2066366","Apalachicola"
"24","1993","Total Trips","25053","Apalachicola"
"25","1994","CPUE","86.1094224924012","Apalachicola"
"26","1994","Landings (lbs)","1529820","Apalachicola"
"27","1994","Total Trips","17766","Apalachicola"
"28","1995","CPUE","81.724649817296","Apalachicola"
"29","1995","Landings (lbs)","1073535","Apalachicola"
"30","1995","Total Trips","13136","Apalachicola"
"31","1996","CPUE","94.0347075566982","Apalachicola"
"32","1996","Landings (lbs)","1024132","Apalachicola"
"33","1996","Total Trips","10891","Apalachicola"
"34","1997","CPUE","91.6253653577329","Apalachicola"
"35","1997","Landings (lbs)","1442000","Apalachicola"
"36","1997","Total Trips","15738","Apalachicola"
"37","1998","CPUE","85.9211125469202","Apalachicola"
"38","1998","Landings (lbs)","1396304","Apalachicola"
"39","1998","Total Trips","16251","Apalachicola"
"40","1999","CPUE","87.1528355773154","Apalachicola"
