"","ID","Date","Phosphorus","Nitrogen","Chlorophyll","Secchi","Color","Temperature","Conductivity","Site","Sensor_Type","Salinity","Sun_Code","DO","Depth"
"1",1,2017-01-02 11:00:00,77,1070,5,0.609756097560976,16,NA,13.68,1,"LAKEWATCH",NA,1,NA,NA
"2",2,2017-01-02 11:30:00,51,670,10,0.701219512195122,9,NA,28,2,"LAKEWATCH",NA,1,NA,NA
"3",3,2017-01-02 11:40:00,77,910,15,0.548780487804878,8,NA,23,3,"LAKEWATCH",NA,1,NA,NA
"4",4,2017-01-02 12:00:00,101,880,14,0.457317073170732,8,NA,32,4,"LAKEWATCH",NA,1,NA,NA
"5",5,2017-01-02 11:41:00,39,500,14,0.914634146341463,8,NA,30,5,"LAKEWATCH",NA,1,NA,NA
"6",6,2017-01-02 10:30:00,93,1110,3,0.457317073170732,22,NA,31.87,6,"LAKEWATCH",NA,1,NA,NA
"7",7,2017-02-05 10:00:00,110,1250,50,1.21951219512195,91,NA,14,1,"LAKEWATCH",NA,4,NA,NA
"8",8,2017-02-05 10:45:00,66,830,4,1.21951219512195,99,NA,10,2,"LAKEWATCH",NA,4,NA,NA
"9",9,2017-02-05 11:00:00,50,550,3,0.76219512195122,69,NA,7,3,"LAKEWATCH",NA,4,NA,NA
"10",10,2017-02-05 11:10:00,55,710,7,0.609756097560976,66,NA,13,4,"LAKEWATCH",NA,4,NA,NA
"11",11,2017-02-05 10:30:00,58,840,9,1.21951219512195,92,NA,12,5,"LAKEWATCH",NA,4,NA,NA
"12",12,2017-02-05 10:15:00,60,670,9,0.609756097560976,64,NA,12,6,"LAKEWATCH",NA,4,NA,NA
"13",13,2017-03-06 11:00:00,29,410,3,1.06707317073171,18,NA,38,1,"LAKEWATCH",NA,1,NA,NA
"14",14,2017-03-06 11:20:00,27,400,5,1.00609756097561,15,NA,33,2,"LAKEWATCH",NA,1,NA,NA
"15",15,2017-03-06 11:30:00,30,390,2,0.853658536585366,15,NA,35,3,"LAKEWATCH",NA,1,NA,NA
"16",16,2017-03-06 10:30:00,25,400,5,1.06707317073171,14,NA,31,4,"LAKEWATCH",NA,1,NA,NA
"17",17,2017-03-06 11:15:00,18,310,2,1.21951219512195,12,NA,27,5,"LAKEWATCH",NA,1,NA,NA
"18",18,2017-03-06 11:45:00,25,390,1,0.701219512195122,14,NA,33,6,"LAKEWATCH",NA,1,NA,NA
"19",19,2017-04-02 09:30:00,37,690,5,0.853658536585366,18,NA,9,1,"LAKEWATCH",NA,1,NA,NA
"20",20,2017-04-02 09:15:00,43,940,7,0.609756097560976,27,NA,13,2,"LAKEWATCH",NA,1,NA,NA
"21",21,2017-04-02 08:30:00,44,830,8,0.24390243902439,20,NA,11,3,"LAKEWATCH",NA,1,NA,NA
"22",22,2017-04-02 08:45:00,38,800,7,0.609756097560976,20,NA,11,4,"LAKEWATCH",NA,1,NA,NA
"23",23,2017-04-02 09:31:00,42,1010,12,0.457317073170732,28,NA,14,5,"LAKEWATCH",NA,1,NA,NA
"24",24,2017-04-02 09:45:00,33,590,4,0.457317073170732,17,NA,9,6,"LAKEWATCH",NA,1,NA,NA
"25",25,2017-05-01 09:30:00,49,770,4,0.609756097560976,11,NA,21,1,"LAKEWATCH",NA,1,NA,NA
"26",26,2017-05-01 10:00:00,38,470,3,0.853658536585366,10,NA,22,2,"LAKEWATCH",NA,1,NA,NA
"27",27,2017-05-01 10:30:00,53,610,16,0.914634146341463,12,NA,48,3,"LAKEWATCH",NA,1,NA,NA
"28",28,2017-05-01 10:45:00,33,490,13,0.609756097560976,14,NA,17,4,"LAKEWATCH",NA,1,NA,NA
"29",29,2017-05-01 10:15:00,35,530,9,1.3109756097561,14,NA,16,5,"LAKEWATCH",NA,1,NA,NA
"30",30,2017-05-01 09:45:00,34,480,4,1.3719512195122,11,NA,5,6,"LAKEWATCH",NA,1,NA,NA
"31",31,2017-06-02 12:55:00,38,640,10,1.21951219512195,9,NA,14,1,"LAKEWATCH",NA,2,NA,NA
"32",32,2017-06-02 13:10:00,38,470,19,1.3719512195122,9,NA,15,2,"LAKEWATCH",NA,2,NA,NA
"33",33,2017-06-02 12:00:00,49,550,30,0.76219512195122,10,NA,19,3,"LAKEWATCH",NA,5,NA,NA
"34",34,2017-06-02 12:15:00,46,510,28,1.21951219512195,9,NA,22,4,"LAKEWATCH",NA,5,NA,NA
"35",35,2017-06-02 12:30:00,34,380,20,1.3719512195122,6,NA,18,5,"LAKEWATCH",NA,4,NA,NA
"36",36,2017-06-02 12:40:00,33,470,13,1.00609756097561,8,NA,14,6,"LAKEWATCH",NA,4,NA,NA
"37",37,2017-07-05 10:00:00,78,920,7,0.609756097560976,65,NA,5,1,"LAKEWATCH",NA,1,NA,NA
"38",38,2017-07-04 20:00:00,92,680,23,0.609756097560976,39,NA,11,2,"LAKEWATCH",NA,1,NA,NA
"39",39,2017-07-05 09:00:00,79,740,62,0.609756097560976,20,NA,21,3,"LAKEWATCH",NA,1,NA,NA
"40",40,2017-07-05 09:15:00,64,710,48,0.609756097560976,26,NA,20,4,"LAKEWATCH",NA,1,NA,NA
"41",41,2017-07-05 09:30:00,96,860,59,0.609756097560976,31,NA,20,5,"LAKEWATCH",NA,1,NA,NA
"42",42,2017-07-05 09:40:00,89,690,20,0.701219512195122,40,NA,11,6,"LAKEWATCH",NA,1,NA,NA
"43",43,2017-07-31 09:05:00,73,730,7,0.609756097560976,22,NA,12,1,"LAKEWATCH",NA,1,NA,NA
"44",44,2017-07-31 08:50:00,76,670,7,0.457317073170732,26,NA,15,2,"LAKEWATCH",NA,1,NA,NA
"45",45,2017-07-31 08:30:00,75,740,5,0.609756097560976,29,NA,13,3,"LAKEWATCH",NA,1,NA,NA
"46",46,2017-07-31 09:50:00,69,700,6,0.609756097560976,28,NA,17,4,"LAKEWATCH",NA,1,NA,NA
"47",47,2017-07-31 09:35:00,60,590,6,0.853658536585366,22,NA,14,5,"LAKEWATCH",NA,1,NA,NA
"48",48,2017-07-31 05:20:00,67,730,3,0.76219512195122,28,NA,18,6,"LAKEWATCH",NA,1,NA,NA
"49",49,2017-08-27 10:09:00,83,670,4,0.457317073170732,76,NA,8,1,"LAKEWATCH",NA,1,NA,NA
"50",50,2017-08-27 09:00:00,77,630,15,0.914634146341463,49,NA,18,2,"LAKEWATCH",NA,1,NA,NA
"51",51,2017-08-27 09:16:00,66,600,9,1.00609756097561,41,NA,20,3,"LAKEWATCH",NA,1,NA,NA
"52",52,2017-08-27 11:26:00,79,630,17,0,43,NA,21,4,"LAKEWATCH",NA,2,NA,NA
"53",53,2017-08-27 10:50:00,72,610,9,0.853658536585366,46,NA,18,5,"LAKEWATCH",NA,3,NA,NA
"54",54,2017-08-27 06:24:00,81,720,2,0.548780487804878,85,NA,8,6,"LAKEWATCH",NA,1,NA,NA
"55",55,2017-09-29 10:30:00,88,690,18,0.76219512195122,83,NA,27,1,"LAKEWATCH",NA,1,NA,NA
"56",56,2017-09-29 10:10:00,71,590,6,0.609756097560976,76,NA,25,2,"LAKEWATCH",NA,1,NA,NA
"57",57,2017-09-29 09:45:00,73,610,12,0.914634146341463,94,NA,29,3,"LAKEWATCH",NA,1,NA,NA
"58",58,2017-09-29 11:30:00,56,590,15,0.914634146341463,81,NA,27,4,"LAKEWATCH",NA,1,NA,NA
"59",59,2017-09-29 10:50:00,71,650,15,0.701219512195122,86,NA,28,5,"LAKEWATCH",NA,1,NA,NA
"60",60,2017-09-29 10:55:00,61,610,16,0.609756097560976,77,NA,26,6,"LAKEWATCH",NA,1,NA,NA
"61",61,2017-10-26 09:15:00,64,730,7,0.548780487804878,92,NA,7,1,"LAKEWATCH",NA,1,NA,NA
"62",62,2017-10-26 09:30:00,80,930,18,0.853658536585366,105,NA,15,2,"LAKEWATCH",NA,1,NA,NA
"63",63,2017-10-26 09:45:00,87,930,25,0.853658536585366,95,NA,17,3,"LAKEWATCH",NA,1,NA,NA
"64",64,2017-10-26 08:30:00,82,940,18,0.304878048780488,85,NA,14,4,"LAKEWATCH",NA,1,NA,NA
"65",65,2017-10-26 08:45:00,64,790,12,0.304878048780488,83,NA,12,5,"LAKEWATCH",NA,1,NA,NA
"66",66,2017-10-26 09:00:00,56,720,4,0.609756097560976,83,NA,7,6,"LAKEWATCH",NA,1,NA,NA
"67",67,2017-12-01 08:10:00,47,710,19,0,21,NA,20,1,"LAKEWATCH",NA,1,NA,NA
"68",68,2017-12-01 09:10:00,44,520,29,1.3109756097561,14,NA,31,2,"LAKEWATCH",NA,1,NA,NA
"69",69,2017-12-01 09:30:00,41,450,12,1.3719512195122,13,NA,34,3,"LAKEWATCH",NA,1,NA,NA
"70",70,2017-12-01 07:30:00,43,500,30,0.76219512195122,14,NA,30,4,"LAKEWATCH",NA,1,NA,NA
"71",71,2017-12-01 07:45:00,40,500,44,1.21951219512195,15,NA,28,5,"LAKEWATCH",NA,1,NA,NA
"72",72,2017-12-01 08:00:00,35,650,30,1.06707317073171,25,NA,14,6,"LAKEWATCH",NA,1,NA,NA
"73",73,2018-03-16 13:05:00,NA,NA,NA,NA,NA,-999,-999,1,"YSI",-999,NA,-999,0
"74",74,2018-03-16 13:54:00,NA,NA,NA,NA,NA,-999,-999,2,"YSI",-999,NA,-999,1.3
"75",75,2018-03-16 10:31:00,NA,NA,NA,NA,NA,15,21.36,3,"YSI",16,NA,13.27,0
"76",76,2018-03-16 10:04:00,NA,NA,NA,NA,NA,14.9,21.3,4,"YSI",16.2,NA,11.66,1.07
"77",77,2018-03-16 13:40:00,NA,NA,NA,NA,NA,-999,-999,5,"YSI",-999,NA,-999,0
"78",78,2018-03-16 13:15:00,NA,NA,NA,NA,NA,-999,-999,6,"YSI",-999,NA,-999,0
"79",79,2018-03-16 12:11:00,NA,NA,NA,NA,NA,15.4,16.01,7,"YSI",11,NA,-999,0
"80",80,2018-03-16 12:25:00,NA,NA,NA,NA,NA,12.94,15.84,8,"YSI",11.5,NA,-999,0
"81",81,2018-03-16 10:43:00,NA,NA,NA,NA,NA,14.7,21.11,9,"YSI",16,NA,15.38,0
"82",82,2018-04-17 09:00:00,NA,NA,NA,NA,NA,20.4,0.4239,6,"YSI",0.02,NA,16.03,0.65
"83",83,2018-04-17 09:37:00,NA,NA,NA,NA,NA,20.8,0.3836,1,"YSI",0.2,NA,13.6,0.38
"84",84,2018-04-17 10:00:00,NA,NA,NA,NA,NA,18.4,10.15,5,"YSI",7,NA,15.46,0.82
"85",85,2018-04-17 10:49:00,NA,NA,NA,NA,NA,17.8,12.64,3,"YSI",7.3,NA,15.55,0.95
"86",86,2018-04-17 11:00:00,NA,NA,NA,NA,NA,18.7,12.58,4,"YSI",9.3,NA,13.45,0.8
"87",87,2018-04-17 11:19:00,NA,NA,NA,NA,NA,18,13.8,9,"YSI",9.5,NA,14.3,0.88
"88",88,2018-04-17 11:34:00,NA,NA,NA,NA,NA,19.2,23.57,2,"YSI",16.5,NA,10.88,1.3
"89",89,2018-04-17 11:42:00,NA,NA,NA,NA,NA,19,9.85,8,"YSI",6.3,NA,14.05,0.92
"90",90,2018-04-17 12:12:00,NA,NA,NA,NA,NA,20.4,1.73,7,"YSI",1,NA,13.07,1.18
"91",91,2018-04-30 08:19:00,NA,NA,NA,NA,NA,22.4,16.59,4,"YSI",10.3,NA,13.2,0.46
"92",92,2018-04-30 08:45:00,NA,NA,NA,NA,NA,22.6,9.01,5,"YSI",5.3,NA,12.47,0.61
"93",93,2018-04-30 09:10:00,NA,NA,NA,NA,NA,23.3,0.49,6,"YSI",0.2,NA,12.54,0.61
"94",94,2018-04-30 12:30:00,NA,NA,NA,NA,NA,23.2,14.37,9,"YSI",10.7,NA,12.3,1.22
"95",95,2018-04-30 09:55:00,NA,NA,NA,NA,NA,23.8,0.4377,1,"YSI",0.2,NA,12.72,0.3
"96",96,2018-04-30 10:15:00,NA,NA,NA,NA,NA,23.3,2.473,7,"YSI",1.3,NA,11.86,0.76
"97",97,2018-04-30 10:30:00,NA,NA,NA,NA,NA,22.5,8.14,8,"YSI",4.8,NA,12.5,0.61
"98",98,2018-04-30 10:48:00,NA,NA,NA,NA,NA,23.2,16.42,2,"YSI",9.9,NA,11.9,0.91
"99",99,2018-04-30 11:06:00,NA,NA,NA,NA,NA,23.1,17.72,3,"YSI",10.9,NA,13.89,1.22
"100",100,2018-05-11 07:52:00,NA,NA,NA,NA,NA,25.9,9.2,1,"YSI",4.9,NA,11.1,0.76
"101",101,2018-05-11 09:19:00,NA,NA,NA,NA,NA,26.4,26.15,2,"YSI",15.5,NA,11.9,1.55
"102",102,2018-05-11 09:49:00,NA,NA,NA,NA,NA,26.5,30.6,3,"YSI",18.4,NA,11.28,1.5
"103",103,2018-05-11 10:30:00,NA,NA,NA,NA,NA,26.6,31.42,4,"YSI",18.9,NA,11.03,1.38
"104",104,2018-05-11 10:54:00,NA,NA,NA,NA,NA,26.6,30.62,5,"YSI",18.3,NA,11.35,1.67
"105",105,2018-05-11 07:28:00,NA,NA,NA,NA,NA,26.3,18.01,6,"YSI",10.4,NA,7.04,0.95
"106",106,2018-05-11 08:23:00,NA,NA,NA,NA,NA,27,23.55,7,"YSI",13.6,NA,9.06,1.2
"107",107,2018-05-11 08:41:00,NA,NA,NA,NA,NA,26.2,20.6,8,"YSI",12,NA,11.62,1.05
"108",108,2018-05-11 10:01:00,NA,NA,NA,NA,NA,26.5,26.1,9,"YSI",15.4,NA,12.13,1.4
"109",109,2018-05-24 08:09:00,NA,NA,NA,NA,NA,27.8,46.07,1,"YSI",28.1,NA,7.61,1.22
"110",110,2018-05-24 09:22:00,NA,NA,NA,NA,NA,27.7,45.4,2,"YSI",27.7,NA,11.73,2.13
"111",111,2018-05-24 10:28:00,NA,NA,NA,NA,NA,27.8,46.25,3,"YSI",28.1,NA,11.05,1.52
"112",112,2018-05-24 10:05:00,NA,NA,NA,NA,NA,27.8,46,4,"YSI",28.1,NA,11.3,1.52
"113",113,2018-05-24 09:41:00,NA,NA,NA,NA,NA,28,46.5,5,"YSI",28.3,NA,8.92,1.83
"114",114,2018-05-24 07:41:00,NA,NA,NA,NA,NA,27.9,46.51,6,"YSI",28.4,NA,7.31,1.52
"115",115,2018-05-24 08:39:00,NA,NA,NA,NA,NA,28.2,43.73,7,"YSI",26.3,NA,8.74,1.68
"116",116,2018-05-24 08:56:00,NA,NA,NA,NA,NA,28.9,42.79,8,"YSI",25.3,NA,10.36,1.52
"117",117,2018-05-24 10:44:00,NA,NA,NA,NA,NA,28,44.77,9,"YSI",27.1,NA,10.44,1.52
"118",118,2018-06-08 15:17:00,NA,NA,NA,NA,NA,28.5,0.526,6,"YSI",0.5,NA,10.85,1
"119",119,2018-06-08 15:39:00,NA,NA,NA,NA,NA,28.3,1.016,1,"YSI",0.5,NA,10.02,0.75
"120",120,2018-06-08 16:10:00,NA,NA,NA,NA,NA,28.5,0.0149,7,"YSI",0,NA,9.4,1
"121",121,2018-06-08 16:33:00,NA,NA,NA,NA,NA,30.3,7.17,8,"YSI",3.5,NA,11.07,0.75
"122",122,2018-06-08 16:58:00,NA,NA,NA,NA,NA,30.4,7.9,2,"YSI",3.9,NA,11.04,1
"123",123,2018-06-08 14:20:00,NA,NA,NA,NA,NA,27.7,17.89,5,"YSI",10,NA,7.45,1.2
"124",124,2018-06-08 17:21:00,NA,NA,NA,NA,NA,30,15.94,9,"YSI",8.4,NA,10.7,0.9
"125",125,2018-06-08 18:29:00,NA,NA,NA,NA,NA,29.4,18.07,4,"YSI",9.7,NA,10.6,1
"126",126,2018-06-08 18:07:00,NA,NA,NA,NA,NA,29.6,17.91,3,"YSI",9.6,NA,10.21,1.1
"127",127,2018-06-25 15:31:00,NA,NA,NA,NA,NA,30.4,19.75,5,"YSI",1.4,NA,9.1,1.3
